"('shift', 0, 'down')","('T', 172, 'down')","('shift', 250, 'up')","('h', 281, 'down')","('t', 297, 'up')","('h', 344, 'up')","('a', 547, 'down')","('n', 641, 'down')","('a', 656, 'up')","('n', 719, 'up')","('k', 859, 'down')","('k', 938, 'up')","('s', 1031, 'down')","('s', 1109, 'up')","(' ', 1500, 'down')","(' ', 1625, 'up')","('4', 1875, 'down')","('4', 1953, 'up')","(' ', 2063, 'down')","(' ', 2141, 'up')","('f', 2406, 'down')","('f', 2469, 'up')","('i', 2594, 'down')","('i', 2656, 'up')","('s', 2672, 'down')","('s', 2766, 'up')","('h', 2844, 'down')","('h', 2922, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 266, 'up')","('t', 328, 'up')","('h', 375, 'down')","('h', 438, 'up')","('a', 531, 'down')","('a', 625, 'up')","('n', 625, 'down')","('n', 703, 'up')","('k', 985, 'down')","('k', 1078, 'up')","('s', 1219, 'down')","('s', 1297, 'up')","(' ', 1688, 'down')","(' ', 1797, 'up')","('4', 2188, 'down')","('4', 2266, 'up')","(' ', 2438, 'down')","(' ', 2547, 'up')","('f', 2891, 'down')","('f', 2969, 'up')","('i', 3078, 'down')","('i', 3141, 'up')","('s', 3172, 'down')","('s', 3266, 'up')","('h', 3328, 'down')","('h', 3391, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 250, 'up')","('t', 297, 'up')","('h', 328, 'down')","('h', 406, 'up')","('a', 485, 'down')","('a', 563, 'up')","('n', 594, 'down')","('n', 672, 'up')","('k', 1219, 'down')","('k', 1313, 'up')","('s', 1360, 'down')","('s', 1438, 'up')","(' ', 1735, 'down')","(' ', 1860, 'up')","('4', 2203, 'down')","('4', 2281, 'up')","(' ', 2406, 'down')","(' ', 2516, 'up')","('f', 2578, 'down')","('f', 2641, 'up')","('i', 2781, 'down')","('i', 2844, 'up')","('s', 2860, 'down')","('s', 2938, 'up')","('h', 3047, 'down')","('h', 3110, 'up')"
"('shift', 0, 'down')","('T', 156, 'down')","('shift', 250, 'up')","('h', 281, 'down')","('t', 297, 'up')","('h', 359, 'up')","('a', 422, 'down')","('n', 531, 'down')","('a', 547, 'up')","('n', 625, 'up')","('k', 1484, 'down')","('k', 1563, 'up')","('s', 1594, 'down')","('s', 1672, 'up')","(' ', 1766, 'down')","(' ', 1859, 'up')","('4', 2203, 'down')","('4', 2266, 'up')","(' ', 2375, 'down')","(' ', 2484, 'up')","('f', 2594, 'down')","('f', 2672, 'up')","('i', 2781, 'down')","('i', 2844, 'up')","('s', 2875, 'down')","('s', 2969, 'up')","('h', 3031, 'down')","('h', 3094, 'up')"
"('shift', 0, 'down')","('T', 203, 'down')","('shift', 265, 'up')","('h', 328, 'down')","('t', 343, 'up')","('h', 422, 'up')","('a', 484, 'down')","('a', 562, 'up')","('n', 593, 'down')","('n', 672, 'up')","('k', 906, 'down')","('k', 1000, 'up')","('s', 1078, 'down')","('s', 1156, 'up')","(' ', 1875, 'down')","(' ', 2000, 'up')","('4', 2000, 'down')","('4', 2093, 'up')","(' ', 2297, 'down')","(' ', 2406, 'up')","('f', 2500, 'down')","('f', 2578, 'up')","('i', 2734, 'down')","('i', 2828, 'up')","('s', 2890, 'down')","('s', 2968, 'up')","('h', 2984, 'down')","('h', 3047, 'up')"
"('shift', 0, 'down')","('T', 172, 'down')","('shift', 250, 'up')","('h', 281, 'down')","('t', 297, 'up')","('h', 375, 'up')","('a', 500, 'down')","('a', 578, 'up')","('n', 594, 'down')","('n', 687, 'up')","('k', 844, 'down')","('k', 937, 'up')","('s', 1000, 'down')","('s', 1078, 'up')","(' ', 1875, 'down')","(' ', 1984, 'up')","('4', 2062, 'down')","('4', 2125, 'up')","(' ', 2234, 'down')","(' ', 2344, 'up')","('f', 2375, 'down')","('f', 2437, 'up')","('i', 2562, 'down')","('i', 2625, 'up')","('s', 2672, 'down')","('s', 2750, 'up')","('h', 2828, 'down')","('h', 2890, 'up')"
"('shift', 0, 'down')","('T', 219, 'down')","('shift', 250, 'up')","('h', 297, 'down')","('t', 344, 'up')","('h', 359, 'up')","('a', 562, 'down')","('n', 625, 'down')","('a', 656, 'up')","('n', 750, 'up')","('k', 906, 'down')","('k', 1000, 'up')","('s', 1047, 'down')","('s', 1125, 'up')","(' ', 1641, 'down')","(' ', 1750, 'up')","('4', 1812, 'down')","('4', 1891, 'up')","(' ', 2016, 'down')","(' ', 2125, 'up')","('f', 2141, 'down')","('f', 2219, 'up')","('i', 2312, 'down')","('i', 2375, 'up')","('s', 2406, 'down')","('s', 2500, 'up')","('h', 2562, 'down')","('h', 2625, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 250, 'up')","('h', 281, 'down')","('t', 328, 'up')","('h', 375, 'up')","('a', 469, 'down')","('a', 563, 'up')","('n', 578, 'down')","('n', 641, 'up')","('k', 766, 'down')","('k', 859, 'up')","('s', 922, 'down')","('s', 984, 'up')","(' ', 1625, 'down')","(' ', 1734, 'up')","('4', 1813, 'down')","('4', 1906, 'up')","(' ', 2094, 'down')","(' ', 2219, 'up')","('f', 2250, 'down')","('f', 2328, 'up')","('i', 2422, 'down')","('i', 2484, 'up')","('s', 2500, 'down')","('s', 2594, 'up')","('h', 2656, 'down')","('h', 2734, 'up')"
"('shift', 0, 'down')","('T', 188, 'down')","('shift', 282, 'up')","('h', 297, 'down')","('t', 313, 'up')","('h', 375, 'up')","('a', 579, 'down')","('n', 657, 'down')","('a', 672, 'up')","('n', 766, 'up')","('k', 1313, 'down')","('k', 1407, 'up')","('s', 1407, 'down')","('s', 1516, 'up')","(' ', 1735, 'down')","(' ', 1844, 'up')","('4', 2172, 'down')","('4', 2235, 'up')","(' ', 2360, 'down')","(' ', 2469, 'up')","('f', 2625, 'down')","('f', 2704, 'up')","('i', 2829, 'down')","('i', 2891, 'up')","('s', 2922, 'down')","('s', 3000, 'up')","('h', 3063, 'down')","('h', 3141, 'up')"
"('shift', 0, 'down')","('T', 140, 'down')","('shift', 234, 'up')","('h', 296, 'down')","('t', 312, 'up')","('h', 375, 'up')","('a', 734, 'down')","('a', 828, 'up')","('n', 875, 'down')","('n', 968, 'up')","('k', 1468, 'down')","('k', 1546, 'up')","('s', 1578, 'down')","('s', 1656, 'up')","(' ', 1828, 'down')","(' ', 1937, 'up')","('4', 2031, 'down')","('4', 2093, 'up')","(' ', 2421, 'down')","(' ', 2515, 'up')","('f', 2718, 'down')","('f', 2812, 'up')","('i', 2875, 'down')","('i', 2937, 'up')","('s', 3000, 'down')","('s', 3078, 'up')","('h', 3125, 'down')","('h', 3203, 'up')"
